date,mod_zcta,ili_pne_visits,ili_pne_admissions,total_ed_visits,borough,admissions/visits,Risk_level
2020-03-01,10001,340,85,4590,Manhattan,25.0,Low risk
2020-03-01,10002,425,85,6545,Manhattan,20.0,Low risk
2020-03-01,10009,425,85,6290,Manhattan,20.0,Low risk
2020-03-01,10011,170,85,3230,Manhattan,50.0,Moderate risk
2020-03-01,10017,85,85,765,Manhattan,100.0,Low Volume _ Not Rated
2020-03-01,10019,85,85,4080,Manhattan,100.0,Low Volume _ Not Rated
2020-03-01,10024,340,85,2975,Manhattan,25.0,Low risk
2020-03-01,10025,425,85,7140,Manhattan,20.0,Low risk
2020-03-01,10027,255,85,6800,Manhattan,33.33333333333333,Moderate risk
2020-03-01,10029,680,170,13345,Manhattan,25.0,Low risk
2020-03-01,10030,340,85,4420,Manhattan,25.0,Low risk
2020-03-01,10031,255,85,6205,Manhattan,33.33333333333333,Moderate risk
2020-03-01,10033,340,85,4165,Manhattan,25.0,Low risk
2020-03-01,10034,340,170,3400,Manhattan,50.0,Moderate risk
2020-03-01,10035,595,85,8415,Manhattan,14.285714285714285,Low risk
2020-03-01,10037,425,85,2805,Manhattan,20.0,Low risk
2020-03-01,10038,85,85,2465,Manhattan,100.0,Low Volume _ Not Rated
2020-03-01,10040,255,170,2380,Manhattan,66.66666666666666,High risk
2020-03-01,10065,170,85,1445,Manhattan,50.0,Moderate risk
2020-03-01,10304,595,170,4845,Staten Island,28.57142857142857,Low risk
2020-03-01,10307,85,85,1360,Staten Island,100.0,Low Volume _ Not Rated
2020-03-01,10308,170,85,1530,Staten Island,50.0,Moderate risk
2020-03-01,10310,255,85,3485,Staten Island,33.33333333333333,Moderate risk
2020-03-01,10312,340,255,4165,Staten Island,75.0,High risk
2020-03-01,10314,340,255,6205,unknown,75.0,High risk
2020-03-01,10452,1190,255,10200,The Bronx,21.428571428571427,Low risk
2020-03-01,10453,1020,255,12155,The Bronx,25.0,Low risk
2020-03-01,10454,680,340,6715,The Bronx,50.0,Moderate risk
2020-03-01,10456,1445,425,15385,The Bronx,29.411764705882355,Low risk
2020-03-01,10457,680,255,13005,The Bronx,37.5,Moderate risk
2020-03-01,10460,680,170,9520,The Bronx,25.0,Low risk
2020-03-01,10463,340,85,4590,The Bronx,25.0,Low risk
2020-03-01,10468,765,85,9945,The Bronx,11.11111111111111,Low risk
2020-03-01,10473,510,170,7055,The Bronx,33.33333333333333,Moderate risk
2020-03-01,11004,170,85,2125,Queens,50.0,Moderate risk
2020-03-01,11103,255,85,2040,Queens,33.33333333333333,Moderate risk
2020-03-01,11105,595,85,2890,Queens,14.285714285714285,Low risk
2020-03-01,11203,510,85,9095,Brooklyn,16.666666666666664,Low risk
2020-03-01,11206,510,255,9605,Brooklyn,50.0,Moderate risk
2020-03-01,11207,1445,255,12580,Brooklyn,17.647058823529413,Low risk
2020-03-01,11208,935,85,12240,Brooklyn,9.090909090909092,Low risk
2020-03-01,11209,255,85,4505,Brooklyn,33.33333333333333,Moderate risk
2020-03-01,11210,340,85,5950,Brooklyn,25.0,Low risk
2020-03-01,11211,765,170,4845,Brooklyn,22.22222222222222,Low risk
2020-03-01,11212,935,255,13345,Brooklyn,27.27272727272727,Low risk
2020-03-01,11213,425,85,7650,Brooklyn,20.0,Low risk
2020-03-01,11215,170,170,2805,Brooklyn,100.0,High risk
2020-03-01,11216,255,85,6290,Brooklyn,33.33333333333333,Moderate risk
2020-03-01,11219,170,85,5525,Brooklyn,50.0,Moderate risk
2020-03-01,11220,255,85,9265,Brooklyn,33.33333333333333,Moderate risk
2020-03-01,11221,935,85,8160,Brooklyn,9.090909090909092,Low risk
2020-03-01,11223,255,85,5440,Brooklyn,33.33333333333333,Moderate risk
2020-03-01,11224,170,85,6120,Brooklyn,50.0,Moderate risk
2020-03-01,11226,425,170,9435,Brooklyn,40.0,Moderate risk
2020-03-01,11230,170,85,6035,Brooklyn,50.0,Moderate risk
2020-03-01,11234,85,85,6800,Brooklyn,100.0,Low Volume _ Not Rated
2020-03-01,11235,425,85,9350,Brooklyn,20.0,Low risk
2020-03-01,11238,340,85,3910,Brooklyn,25.0,Low risk
2020-03-01,11239,170,85,1615,Brooklyn,50.0,Moderate risk
2020-03-01,11354,595,170,2890,Queens,28.57142857142857,Low risk
2020-03-01,11355,935,85,4590,Queens,9.090909090909092,Low risk
2020-03-01,11367,340,255,1615,Queens,75.0,High risk
2020-03-01,11368,1360,255,11645,Queens,18.75,Low risk
2020-03-01,11369,340,170,2465,Queens,50.0,Moderate risk
2020-03-01,11373,850,255,7735,Queens,30.0,Low risk
2020-03-01,11374,255,85,2635,Queens,33.33333333333333,Moderate risk
2020-03-01,11375,425,340,3400,Queens,80.0,High risk
2020-03-01,11377,765,85,7650,Queens,11.11111111111111,Low risk
2020-03-01,11378,340,85,2040,Queens,25.0,Low risk
2020-03-01,11385,850,170,7565,Queens,20.0,Low risk
2020-03-01,11411,170,85,2550,Queens,50.0,Moderate risk
2020-03-01,11416,340,85,3400,Queens,25.0,Low risk
2020-03-01,11421,170,85,3485,Queens,50.0,Moderate risk
2020-03-01,11423,170,85,1360,Queens,50.0,Moderate risk
2020-03-01,11432,425,170,7225,Queens,40.0,Moderate risk
2020-03-01,11434,340,170,4590,Queens,50.0,Moderate risk
2020-03-01,11435,510,85,5865,Queens,16.666666666666664,Low risk
2020-03-01,11436,255,85,1870,Queens,33.33333333333333,Moderate risk
2020-03-02,10001,425,85,3825,Manhattan,20.0,Low risk
2020-03-02,10002,595,85,7395,Manhattan,14.285714285714285,Low risk
2020-03-02,10009,510,170,7055,Manhattan,33.33333333333333,Moderate risk
2020-03-02,10021,170,85,1870,Manhattan,50.0,Moderate risk
2020-03-02,10025,680,170,8840,Manhattan,25.0,Low risk
2020-03-02,10026,765,85,7310,Manhattan,11.11111111111111,Low risk
2020-03-02,10027,680,85,9095,Manhattan,12.5,Low risk
2020-03-02,10030,680,170,6800,Manhattan,25.0,Low risk
2020-03-02,10031,765,170,7225,Manhattan,22.22222222222222,Low risk
2020-03-02,10032,935,255,7310,Manhattan,27.27272727272727,Low risk
2020-03-02,10034,170,85,4165,Manhattan,50.0,Moderate risk
2020-03-02,10035,935,85,9775,Manhattan,9.090909090909092,Low risk
2020-03-02,10036,255,170,3485,Manhattan,66.66666666666666,High risk
2020-03-02,10039,510,85,4420,Manhattan,16.666666666666664,Low risk
2020-03-02,10040,255,85,3570,Manhattan,33.33333333333333,Moderate risk
2020-03-02,10069,85,85,255,Manhattan,100.0,Low Volume _ Not Rated
2020-03-02,10075,340,85,2210,Manhattan,25.0,Low risk
2020-03-02,10301,340,170,7310,Staten Island,50.0,Moderate risk
2020-03-02,10303,255,85,4080,Staten Island,33.33333333333333,Moderate risk
2020-03-02,10305,425,85,4335,Staten Island,20.0,Low risk
2020-03-02,10306,255,85,3910,Staten Island,33.33333333333333,Moderate risk
2020-03-02,10308,170,85,1615,Staten Island,50.0,Moderate risk
2020-03-02,10309,170,85,2635,Staten Island,50.0,Moderate risk
2020-03-02,10312,425,255,4675,Staten Island,60.0,High risk
2020-03-02,10314,510,255,8160,unknown,50.0,Moderate risk
2020-03-02,10451,1445,85,10880,The Bronx,5.88235294117647,Low risk
2020-03-02,10452,1275,170,14875,The Bronx,13.333333333333334,Low risk
2020-03-02,10453,1530,255,16065,The Bronx,16.666666666666664,Low risk
2020-03-02,10454,510,170,10200,The Bronx,33.33333333333333,Moderate risk
2020-03-02,10455,595,85,9605,The Bronx,14.285714285714285,Low risk
2020-03-02,10456,1700,255,23120,The Bronx,15.0,Low risk
2020-03-02,10457,1445,170,20995,The Bronx,11.76470588235294,Low risk
2020-03-02,10458,1445,85,12920,The Bronx,5.88235294117647,Low risk
2020-03-02,10459,680,85,10455,The Bronx,12.5,Low risk
2020-03-02,10460,1190,340,11305,The Bronx,28.57142857142857,Low risk
2020-03-02,10461,425,85,7480,The Bronx,20.0,Low risk
2020-03-02,10462,850,85,12580,The Bronx,10.0,Low risk
2020-03-02,10463,425,170,7140,The Bronx,40.0,Moderate risk
2020-03-02,10465,255,85,3655,The Bronx,33.33333333333333,Moderate risk
2020-03-02,10466,765,170,12070,The Bronx,22.22222222222222,Low risk
2020-03-02,10467,1020,85,20995,The Bronx,8.333333333333332,Low risk
2020-03-02,10468,850,85,10965,The Bronx,10.0,Low risk
2020-03-02,10469,1445,255,11050,The Bronx,17.647058823529413,Low risk
2020-03-02,10472,1190,340,13260,The Bronx,28.57142857142857,Low risk
2020-03-02,10474,255,170,3230,The Bronx,66.66666666666666,High risk
2020-03-02,11101,85,85,3655,Queens,100.0,Low Volume _ Not Rated
2020-03-02,11102,255,85,3485,Queens,33.33333333333333,Moderate risk
2020-03-02,11103,170,85,3230,Queens,50.0,Moderate risk
2020-03-02,11104,170,85,2040,Queens,50.0,Moderate risk
2020-03-02,11106,340,85,2635,Queens,25.0,Low risk
2020-03-02,11201,425,85,7225,Brooklyn,20.0,Low risk
2020-03-02,11206,1105,255,14110,Brooklyn,23.076923076923077,Low risk
2020-03-02,11208,1360,255,14365,Brooklyn,18.75,Low risk
2020-03-02,11211,850,255,6545,Brooklyn,30.0,Low risk
2020-03-02,11212,1360,170,20315,Brooklyn,12.5,Low risk
2020-03-02,11213,850,85,10285,Brooklyn,10.0,Low risk
2020-03-02,11215,170,85,3485,Brooklyn,50.0,Moderate risk
2020-03-02,11217,255,85,4335,Brooklyn,33.33333333333333,Moderate risk
2020-03-02,11218,340,170,7310,Brooklyn,50.0,Moderate risk
2020-03-02,11219,340,85,5695,Brooklyn,25.0,Low risk
2020-03-02,11220,765,255,11135,Brooklyn,33.33333333333333,Moderate risk
2020-03-02,11221,1190,255,14705,Brooklyn,21.428571428571427,Low risk
2020-03-02,11223,680,85,7225,Brooklyn,12.5,Low risk
2020-03-02,11224,680,255,7650,Brooklyn,37.5,Moderate risk
2020-03-02,11225,680,170,7565,Brooklyn,25.0,Low risk
2020-03-02,11226,1360,255,14195,Brooklyn,18.75,Low risk
2020-03-02,11229,255,170,6885,Brooklyn,66.66666666666666,High risk
2020-03-02,11231,340,85,3485,Brooklyn,25.0,Low risk
2020-03-02,11233,1105,255,11815,Brooklyn,23.076923076923077,Low risk
2020-03-02,11234,340,85,7310,Brooklyn,25.0,Low risk
2020-03-02,11235,340,85,10965,Brooklyn,25.0,Low risk
2020-03-02,11236,1105,255,12580,Brooklyn,23.076923076923077,Low risk
2020-03-02,11237,1190,85,7820,Brooklyn,7.142857142857142,Low risk
2020-03-02,11239,255,170,2720,Brooklyn,66.66666666666666,High risk
2020-03-02,11354,510,255,3315,Queens,50.0,Moderate risk
2020-03-02,11355,765,170,5270,Queens,22.22222222222222,Low risk
2020-03-02,11356,255,85,2295,Queens,33.33333333333333,Moderate risk
2020-03-02,11365,85,85,2295,Queens,100.0,Low Volume _ Not Rated
2020-03-02,11367,170,85,2720,Queens,50.0,Moderate risk
2020-03-02,11368,1870,85,15555,Queens,4.545454545454546,Low risk
2020-03-02,11370,510,85,3825,Queens,16.666666666666664,Low risk
2020-03-02,11372,850,170,7395,Queens,20.0,Low risk
2020-03-02,11373,255,85,9945,Queens,33.33333333333333,Moderate risk
2020-03-02,11374,510,85,3995,Queens,16.666666666666664,Low risk
2020-03-02,11375,340,170,3995,Queens,50.0,Moderate risk
2020-03-02,11377,1190,255,8585,Queens,21.428571428571427,Low risk
2020-03-02,11415,85,85,1190,Queens,100.0,Low Volume _ Not Rated
2020-03-02,11417,425,85,3400,Queens,20.0,Low risk
2020-03-02,11418,340,170,4590,Queens,50.0,Moderate risk
2020-03-02,11419,595,85,5185,Queens,14.285714285714285,Low risk
2020-03-02,11420,170,85,6290,Queens,50.0,Moderate risk
2020-03-02,11421,680,255,5100,Queens,37.5,Moderate risk
2020-03-02,11422,170,85,2380,Queens,50.0,Moderate risk
2020-03-02,11429,255,85,3145,Queens,33.33333333333333,Moderate risk
2020-03-02,11433,255,85,4505,Queens,33.33333333333333,Moderate risk
2020-03-02,11435,850,85,7310,Queens,10.0,Low risk
2020-03-02,11436,170,85,2295,Queens,50.0,Moderate risk
2020-03-02,11691,1105,170,10370,Queens,15.384615384615385,Low risk
2020-03-03,10002,595,85,6970,Manhattan,14.285714285714285,Low risk
2020-03-03,10003,170,85,4165,Manhattan,50.0,Moderate risk
2020-03-03,10011,255,170,2465,Manhattan,66.66666666666666,High risk
