date,mod_zcta,ili_pne_visits,ili_pne_admissions,total_ed_visits,admissions/visits,borough
2020-03-01,10001,340,85,4590,25.0,Queens
2020-03-01,10002,425,85,6545,20.0,Manhattan
2020-03-01,10003,170,0,3060,0.0,Queens
2020-03-01,10009,425,85,6290,20.0,Staten Island
2020-03-01,10011,170,85,3230,50.0,Queens
2020-03-01,10016,340,0,6970,0.0,The Bronx
2020-03-01,10024,340,85,2975,25.0,Brooklyn
2020-03-01,10025,425,85,7140,20.0,Queens
2020-03-01,10026,340,0,4590,0.0,Queens
2020-03-01,10027,255,85,6800,33.33333333333333,Staten Island
2020-03-01,10029,680,170,13345,25.0,Manhattan
2020-03-01,10030,340,85,4420,25.0,The Bronx
2020-03-01,10031,255,85,6205,33.33333333333333,Manhattan
2020-03-01,10032,340,0,5355,0.0,The Bronx
2020-03-01,10033,340,85,4165,25.0,Queens
2020-03-01,10034,340,170,3400,50.0,Queens
2020-03-01,10035,595,85,8415,14.285714285714285,Manhattan
2020-03-01,10037,425,85,2805,20.0,Brooklyn
2020-03-01,10039,255,0,4165,0.0,Brooklyn
2020-03-01,10040,255,170,2380,66.66666666666666,Queens
2020-03-01,10044,170,0,1020,0.0,Manhattan
2020-03-01,10065,170,85,1445,50.0,The Bronx
2020-03-01,10282,170,0,340,0.0,Queens
2020-03-01,10301,170,0,4590,0.0,The Bronx
2020-03-01,10303,255,0,3655,0.0,The Bronx
2020-03-01,10304,595,170,4845,28.57142857142857,Queens
2020-03-01,10306,255,0,5440,0.0,Queens
2020-03-01,10308,170,85,1530,50.0,Staten Island
2020-03-01,10310,255,85,3485,33.33333333333333,Brooklyn
2020-03-01,10312,340,255,4165,75.0,Manhattan
2020-03-01,10314,340,255,6205,75.0,Queens
2020-03-01,10451,425,0,7735,0.0,Manhattan
2020-03-01,10452,1190,255,10200,21.428571428571427,Manhattan
2020-03-01,10453,1020,255,12155,25.0,Queens
2020-03-01,10454,680,340,6715,50.0,Manhattan
2020-03-01,10455,510,0,5015,0.0,Queens
2020-03-01,10456,1445,425,15385,29.411764705882355,The Bronx
2020-03-01,10457,680,255,13005,37.5,Queens
2020-03-01,10458,680,0,11220,0.0,unknown
2020-03-01,10459,255,0,6970,0.0,Manhattan
2020-03-01,10460,680,170,9520,25.0,Staten Island
2020-03-01,10461,340,0,6035,0.0,Brooklyn
2020-03-01,10462,765,0,10625,0.0,Queens
2020-03-01,10463,340,85,4590,25.0,The Bronx
2020-03-01,10466,680,0,8415,0.0,Manhattan
2020-03-01,10467,1020,0,14620,0.0,Manhattan
2020-03-01,10468,765,85,9945,11.11111111111111,The Bronx
2020-03-01,10469,510,0,7480,0.0,Queens
2020-03-01,10472,510,0,9860,0.0,Manhattan
2020-03-01,10473,510,170,7055,33.33333333333333,Brooklyn
2020-03-01,10475,170,0,3060,0.0,Manhattan
2020-03-01,11004,170,85,2125,50.0,The Bronx
2020-03-01,11101,425,0,4080,0.0,Brooklyn
2020-03-01,11102,255,0,3060,0.0,Queens
2020-03-01,11103,255,85,2040,33.33333333333333,The Bronx
2020-03-01,11104,255,0,1615,0.0,Staten Island
2020-03-01,11105,595,85,2890,14.285714285714285,Queens
2020-03-01,11106,340,0,4165,0.0,Manhattan
2020-03-01,11203,510,85,9095,16.666666666666664,The Bronx
2020-03-01,11205,255,0,4250,0.0,Brooklyn
2020-03-01,11206,510,255,9605,50.0,Queens
2020-03-01,11207,1445,255,12580,17.647058823529413,Queens
2020-03-01,11208,935,85,12240,9.090909090909092,The Bronx
2020-03-01,11209,255,85,4505,33.33333333333333,Queens
2020-03-01,11210,340,85,5950,25.0,Brooklyn
2020-03-01,11211,765,170,4845,22.22222222222222,Manhattan
2020-03-01,11212,935,255,13345,27.27272727272727,Manhattan
2020-03-01,11213,425,85,7650,20.0,Brooklyn
2020-03-01,11214,255,0,6205,0.0,Brooklyn
2020-03-01,11215,170,170,2805,100.0,Queens
2020-03-01,11216,255,85,6290,33.33333333333333,unknown
2020-03-01,11217,255,0,3315,0.0,Manhattan
2020-03-01,11218,340,0,4505,0.0,Queens
2020-03-01,11219,170,85,5525,50.0,Queens
2020-03-01,11220,255,85,9265,33.33333333333333,The Bronx
2020-03-01,11221,935,85,8160,9.090909090909092,Queens
2020-03-01,11223,255,85,5440,33.33333333333333,The Bronx
2020-03-01,11224,170,85,6120,50.0,Brooklyn
2020-03-01,11225,595,0,4760,0.0,Manhattan
2020-03-01,11226,425,170,9435,40.0,Queens
2020-03-01,11229,170,0,3910,0.0,Queens
2020-03-01,11230,170,85,6035,50.0,Queens
2020-03-01,11233,850,0,9265,0.0,Queens
2020-03-01,11235,425,85,9350,20.0,Queens
2020-03-01,11236,595,0,9180,0.0,Queens
2020-03-01,11237,340,0,5865,0.0,Staten Island
2020-03-01,11238,340,85,3910,25.0,Queens
2020-03-01,11239,170,85,1615,50.0,Manhattan
2020-03-01,11354,595,170,2890,28.57142857142857,Brooklyn
2020-03-01,11355,935,85,4590,9.090909090909092,Manhattan
2020-03-01,11356,170,0,1445,0.0,Brooklyn
2020-03-01,11358,170,0,935,0.0,Manhattan
2020-03-01,11365,255,0,2550,0.0,Manhattan
2020-03-01,11367,340,255,1615,75.0,Queens
2020-03-01,11368,1360,255,11645,18.75,Queens
2020-03-01,11369,340,170,2465,50.0,Brooklyn
2020-03-01,11370,340,0,2295,0.0,Brooklyn
2020-03-01,11372,595,0,5270,0.0,Manhattan
2020-03-01,11373,850,255,7735,30.0,Staten Island
2020-03-01,11374,255,85,2635,33.33333333333333,Queens
2020-03-01,11375,425,340,3400,80.0,Manhattan
2020-03-01,11377,765,85,7650,11.11111111111111,Manhattan
2020-03-01,11378,340,85,2040,25.0,Manhattan
2020-03-01,11385,850,170,7565,20.0,Brooklyn
